stanox,crs
59401,MHR
60011,COR
61009,KET
61100,WEL
62011,BDM
62035,BSJ
62040,KMH
62043,SWR
62044,MLB
62047,LID
62049,RID
62051,APG
62053,WOB
62055,BWB
62057,FEN
62201,FLT
62203,HLN
62208,WIX
62211,LEA
62400,LUT
62410,LTN
62422,HPD
63002,XWY
63003,NLT
63004,SDH
63005,SUD
63006,WCX
63018,XNJ
63021,MYB
63201,SAC
63208,RDT
63212,ELS
63214,MIL
63252,HEN
63305,BCZ
63405,CRI
63451,WHP
63551,KTN
63620,XXV
63621,XXY
63626,XYR
63629,SPL
63630,STP
63631,SPX
63633,ZFD
63635,ZBB
63636,FDX
63640,XJR
63641,UHL
64111,GOB
64224,SHR
64229,XSY
64241,CTT
64304,WLP
64307,NWT
64312,CWS
64317,MCN
64318,XMC
64401,DVY
64402,TNF
64404,MFA
64407,PHG
64409,AVY
64411,TYW
64412,LLW
64413,FRB
64414,BRM
64415,LLA
64416,TLB
64417,DYF
64418,LBR
64419,PES
64420,LDN
64422,HRL
64424,TYG
64425,TAL
64426,LLC
64427,PRH
64428,MFF
64501,PTM
64503,CCC
64504,PNC
64506,ABH
64511,PWL
64603,BOW
64604,BRH
64607,AYW
64611,LLB
64813,WLN
64822,OKN
64827,TFC
64828,XMD
65005,PKG
65006,XBJ
65021,SFN
65023,COS
65033,ALB
65034,CSL
65035,BBK
65036,XOY
65043,WVH
65085,XPJ
65087,DAS
65088,WIA
65196,THW
65210,JEQ
65309,XOI
65311,LTV
65315,LIF
65316,LIC
65341,SEN
65343,BKT
65345,BUL
65504,RGT
65511,HNF
65512,CAO
65513,LAW
65517,BWN
65519,BLX
65553,WSL
65601,FOK
65603,SUT
65604,WYL
65605,CRD
65606,ERD
65608,GVH
65610,LEH
65611,SCF
65614,ADD
65625,XOZ
65630,BHM
65642,DUD
65651,AST
65663,WTT
65665,PRY
65667,XRA
65669,HSD
65671,TAB
65700,XBY
65707,BSC
65807,CSY
65809,TIP
65811,DDP
65821,SAD
65822,XGQ
65823,XGJ
65824,SMR
65826,XOS
65828,XSZ
65900,SGB
65901,LGG
65908,SMW
65923,ROW
65925,OHL
65927,CRA
65929,LYE
65930,XSF
65933,SBJ
65934,HAG
65935,KID
65938,BKD
65939,SBT
65941,XKD
65943,BEW
65961,HBY
66002,TAH
66003,WNE
66009,XWE
66031,XKI
66211,XQW
66230,CEH
66291,WTO
66295,XIA
66321,XLX
66323,XON
66324,XIR
66335,MOV
66391,PIR
66392,KIH
66409,BSW
66411,BMO
66412,BBS
66420,SMA
66421,XOH
66424,XTS
66430,ACG
66431,SOL
66433,DDG
66434,LPW
66436,HTN
66437,WRW
66440,SRI
66441,SRL
66442,HLG
66443,YRD
66444,WTE
66445,HNL
66446,WYT
66447,EWD
66449,STY
66451,SAV
66452,WMC
66454,BER
66455,CLV
66456,WWW
66457,DZY
66458,WDE
66459,TLK
66460,TYS
66461,OLT
66462,WMR
66500,FWY
66501,UNI
66502,SLY
66503,BRV
66510,KNN
66513,NFD
66519,LOB
66525,BTG
66527,ALV
66529,RDC
67003,BMV
67008,XSW
67012,DTW
67113,WPH
67114,WOP
67115,XWR
67116,WOS
67195,WOF
67201,XHK
67209,MVL
67214,GMV
67215,XMN
67217,CWL
67219,LED
67345,PSH
67351,EVE
67356,HYB
67359,MIM
67371,XAY
68071,ASC
68076,CNM
68077,XCX
68089,GCR
68140,CDU
68159,SHU
68161,STD
69001,TAM
69003,XIM
69007,PSW
69009,ATH
69021,NUN
69103,BEP
69106,BEH
69199,CAA
69202,COV
69207,CNL
69209,THL
69211,BKW
69213,HIA
69215,BHI
69217,MGN
69300,LMS
69311,KNW
69315,WRP
69414,XFC
69424,BAN
69429,KGS
69440,XAN
69502,BCS
69505,HDM
70030,RUG
70050,XWZ
70091,LBK
70099,XND
70100,NMP
70201,XHN
70211,XGH
70215,WOL
70261,MKC
70300,XYB
70302,XBQ
70306,BLY
70309,XBL
70317,BLU
70319,CED
70320,XOD
70321,LBZ
70328,WNO
70340,QRD
70353,AYS
70355,AVP
70358,SKM
70359,WND
70360,GMN
70361,AMR
70366,CFO
70368,CLW
70371,RIC
70378,ZMP
70381,HOH
70411,TRI
70421,BKM
71009,XOE
71011,HML
71022,KGL
71023,APS
71030,SAA
71032,PKT
71034,HWW
71036,BWO
71038,GSN
71039,WFN
71040,WFJ
72002,WFH
72003,BSH
72004,CPK
72005,HTE
72006,HDL
72007,HRW
72008,KNT
72009,SOK
72010,NWB
72021,WMB
72031,SBP
72033,HDN
72111,XWF
72225,XWS
72232,XRN
72236,XXW
72237,XMB
72239,XNP
72241,KPA
72242,SPB
72243,WBP
72245,IMW
72246,ZET
72247,ZHS
72252,ACC
72253,SAT
72259,ZHA
72260,ZBQ
72265,ZSK
72268,XWI
72272,KNL
72273,XKG
72275,WJH
72277,WJL
72311,QPW
72313,KBN
72314,SOH
72317,PRM
72351,ZWA
72352,ZPC
